Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,231.0,234.63999938964844,230.16000366210938,234.32000732421875,207.32920837402344,3736300
2020-01-03,231.60000610351562,232.61000061035156,230.3000030517578,231.5800018310547,204.90481567382812,2274500
2020-01-06,229.92999267578125,234.02000427246094,229.49000549316406,233.9499969482422,207.00180053710938,3329300
2020-01-07,235.0,237.77000427246094,234.75999450683594,235.49000549316406,208.36444091796875,5255200
2020-01-08,235.67999267578125,239.75,235.47999572753906,237.75999450683594,210.3729705810547,3564700
2020-01-09,241.33999633789062,243.39999389648438,239.82000732421875,242.60000610351562,214.6554412841797,3980700
2020-01-10,242.75,243.38999938964844,241.38999938964844,242.11000061035156,214.2218780517578,2248100
2020-01-13,244.44000244140625,246.11000061035156,243.0,245.2100067138672,216.96481323242188,3359200
2020-01-14,245.32000732421875,248.52000427246094,244.60000610351562,245.66000366210938,217.3629608154297,4302800
2020-01-15,242.0,249.5,239.16000366210938,245.2100067138672,216.96481323242188,5411200
2020-01-16,247.00999450683594,249.82000732421875,246.22999572753906,249.72000122070312,220.95530700683594,3968400
2020-01-17,250.22999572753906,250.4600067138672,248.0,249.4600067138672,220.72523498535156,3108400
2020-01-21,247.2100067138672,248.85000610351562,245.60000610351562,245.6999969482422,217.39837646484375,2492400
2020-01-22,246.61000061035156,248.52000427246094,246.33999633789062,247.0500030517578,218.5928497314453,2030900
2020-01-23,244.5,247.0,242.8800048828125,245.5800018310547,217.2921905517578,2806800
2020-01-24,245.07000732421875,245.7100067138672,240.60000610351562,241.9199981689453,214.0537567138672,2877400
2020-01-27,236.3699951171875,238.99000549316406,235.00999450683594,238.13999938964844,210.7091827392578,2506200
2020-01-28,239.49000549316406,243.5800018310547,238.0500030517578,242.5800018310547,214.6377716064453,3123000
2020-01-29,244.52000427246094,246.5,239.57000732421875,240.1199951171875,212.4610595703125,3711600
2020-01-30,237.69000244140625,244.33999633789062,236.72999572753906,244.1300048828125,216.0092010498047,3261700
2020-01-31,241.99000549316406,242.88999938964844,236.8800048828125,237.75,210.36410522460938,3482800
2020-02-03,238.36000061035156,242.38999938964844,238.0500030517578,239.00999450683594,211.47898864746094,2733000
2020-02-04,242.8800048828125,243.74000549316406,241.5500030517578,241.94000244140625,214.0714569091797,3052500
2020-02-05,244.99000549316406,245.1300048828125,243.0,244.3000030517578,216.15960693359375,3126600
2020-02-06,245.35000610351562,245.77000427246094,241.17999267578125,241.82000732421875,213.9652862548828,2225600
2020-02-07,239.75,240.52000427246094,236.5500030517578,238.0,210.58531188964844,3006500
2020-02-10,237.39999389648438,237.8699951171875,235.4600067138672,237.36000061035156,210.01905822753906,2591300
2020-02-11,239.0,239.5500030517578,236.22000122070312,236.4600067138672,209.22271728515625,2238800
2020-02-12,238.00999450683594,241.17999267578125,237.72000122070312,238.64999389648438,211.1604461669922,2119200
2020-02-13,237.85000610351562,238.97000122070312,236.57000732421875,238.35000610351562,210.8949737548828,1461300
2020-02-14,237.94000244140625,239.00999450683594,236.22999572753906,237.0800018310547,209.77127075195312,1718700
2020-02-18,236.5500030517578,237.07000732421875,231.1999969482422,233.2100067138672,206.34706115722656,2736500
2020-02-19,235.0,237.8000030517578,233.27999877929688,237.3300018310547,209.9925079345703,2207100
2020-02-20,236.41000366210938,236.89999389648438,231.25,232.72999572753906,205.92233276367188,3183700
2020-02-21,230.91000366210938,231.8000030517578,228.3699951171875,230.6199951171875,204.05538940429688,3081600
2020-02-24,223.22999572753906,226.69000244140625,222.5399932861328,224.5399932861328,198.6757049560547,4139400
2020-02-25,224.77999877929688,225.8699951171875,215.88999938964844,217.61000061035156,192.54400634765625,5343100
2020-02-26,218.6999969482422,220.0,214.75999450683594,215.77999877929688,190.92477416992188,4171100
2020-02-27,210.49000549316406,213.47999572753906,205.3699951171875,205.69000244140625,181.9970703125,5848200
2020-02-28,199.08999633789062,202.25,194.85000610351562,200.77000427246094,178.72988891601562,6727100
2020-03-02,201.41000366210938,209.6199951171875,197.6300048828125,209.47000122070312,186.47486877441406,5285500
2020-03-03,209.0,211.7899932861328,202.1199951171875,203.42999267578125,181.09788513183594,5677200
2020-03-04,205.83999633789062,208.9199981689453,202.6999969482422,208.74000549316406,185.8249969482422,3520400
2020-03-05,201.3300018310547,203.47000122070312,196.9499969482422,198.7899932861328,176.9672393798828,4151500
2020-03-06,190.67999267578125,196.3000030517578,189.27999877929688,192.85000610351562,171.6793212890625,5071900
2020-03-09,173.5800018310547,179.25,170.16000366210938,172.80999755859375,153.8392791748047,6443000
2020-03-10,181.6199951171875,185.39999389648438,173.2899932861328,184.35000610351562,164.1124725341797,6803900
2020-03-11,178.47999572753906,180.77000427246094,170.97000122070312,171.88999938964844,153.0203094482422,5314000
2020-03-12,160.0,166.75,150.0,150.67999267578125,134.13868713378906,8357700
